iter	Passed	Remaining
0	134	133873
1	148	74094
2	167	55634
3	197	49157
4	225	44944
5	261	43256
6	280	39771
7	317	39343
8	354	39040
9	380	37642
10	404	36375
11	422	34818
12	436	33112
13	449	31640
14	467	30715
15	504	31014
16	540	31247
17	565	30858
18	589	30455
19	627	30745
20	666	31090
21	691	30748
22	715	30395
23	754	30698
24	786	30683
25	825	30929
26	861	31059
27	898	31177
28	934	31302
29	966	31259
30	1004	31392
31	1042	31523
32	1080	31669
33	1118	31777
34	1161	32025
35	1200	32150
36	1242	32340
37	1282	32461
38	1319	32524
39	1361	32678
40	1404	32840
41	1442	32894
42	1482	33001
43	1524	33123
44	1564	33200
45	1602	33242
46	1643	33316
47	1683	33385
48	1722	33434
49	1762	33494
50	1808	33659
51	1853	33791
52	1894	33847
53	1933	33872
54	1974	33919
55	2012	33932
56	2053	33975
57	2092	33979
58	2132	34019
59	2176	34099
60	2214	34092
61	2252	34073
62	2288	34043
63	2326	34030
64	2364	34012
65	2405	34043
66	2443	34024
67	2481	34004
68	2518	33980
69	2556	33958
70	2593	33930
71	2630	33909
72	2668	33881
73	2706	33863
74	2743	33838
75	2781	33818
76	2820	33806
77	2861	33824
78	2925	34106
79	2967	34129
80	3010	34153
81	3052	34176
82	3097	34218
83	3141	34257
84	3186	34300
85	3244	34480
86	3283	34461
87	3322	34434
88	3369	34491
89	3410	34479
90	3451	34475
91	3490	34448
92	3534	34470
93	3549	34211
94	3568	33992
95	3607	33969
96	3654	34020
97	3704	34098
98	3747	34103
99	3785	34072
100	3825	34049
101	3867	34046
102	3913	34081
103	3954	34071
104	4016	34236
105	4057	34220
106	4096	34192
107	4135	34156
108	4175	34132
109	4215	34108
110	4255	34079
111	4268	33846
112	4307	33815
113	4347	33789
114	4387	33761
115	4425	33726
116	4466	33708
117	4482	33504
118	4542	33627
119	4596	33710
120	4645	33743
121	4671	33621
122	4714	33617
123	4734	33450
124	4774	33424
125	4819	33430
126	4873	33499
127	4932	33602
128	4974	33590
129	5017	33577
130	5070	33636
131	5118	33660
132	5157	33617
133	5198	33593
134	5239	33571
135	5281	33552
136	5322	33529
137	5359	33479
138	5398	33440
139	5445	33448
140	5485	33417
141	5548	33524
142	5588	33493
143	5626	33447
144	5664	33402
145	5700	33344
146	5738	33297
147	5773	33234
